usernames           date                                           Content
------------------  ---------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
galihwahyu09        23 dec 22, 14:15                               it is true.. $trin $esta $mmix $aces $ihsg
kangritel           23 dec 22, 14:15                               ini si $hrum kapan nikel nya dikonsolidasi ke atas ya di lk nya wkwkw selama ini masih disulap-sulap isinya coal mulu dan orang-orang selalu bilang doi coal coal dan lupa nickel nya time will tell peace
handhikabudiharjo   23 dec 22, 14:15                               $nine yuk bisa yuk terbang to the sun
hermantan           21 dec 22, 12:28                               $beer nih rukonya.
achidalbintani      23 dec 22, 14:15                               $pdpp
ciacengeric87       23 dec 22, 10:04                               23-12-2022: $okas
skydrugz27          23 dec 22, 11:14                               kesunyian $ihsg 23 desember 2022 di postingan sebelumnya sudah saya bahas mengenai kesunyian ihsg di desember 2022 yang jauh lebih sunyi jika dibandingkan dengan desember tahun - tahun sebelumnya https://cutt.ly/60xudpe pagi ini, ihsg masih tetap sunyi. total hanya 3,8 triliun dana yang berputar di ihsg dari jam 9 sampai 11. keramaian hanya terjadi di awal bursa jam 9, lalu volume transaksi berkurang. likuiditas di market sangat penting karena tanpa adanya likuiditas, market akan stuck. kalau investor yang hanya harap dividen dari saham maka likuiditas yang kering bukan masalah besar. tapi buat trader yang pengen buy and sell tiap detik, kekeringan likuiditas bisa mengakibatkan nyangkut dan cutloss karena spread transaksi yang lebar. disclaimer: http://bit.ly/3blj4oc https://cutt.ly/mbmgsj6 https://bit.ly/3sjlt0w http://bit.ly/3mhgbr6 https://bit.ly/3lsxlqj https://bit.ly/3cjthzl
sinyalrekomendasi   23 dec 22, 14:15                               tris review 23 december 2022 info saham terbaik link di bio ya! tris mulai breakout ? $tris terlihat beberapa hari ini mengalami penguatan yang cukup tinggi dan 2 hari ini mulai menarik karena berhasil menguat menembus resisten2 nya .tris hari ini cukup menarik karena terlihat mulai lanjut menguat signifikan menembus resisten nya di level 284 dan ditutup dengan candle hijau tinggi. tris masih berpotensi lanjut menguat dan sangat menarik bila bertahan diatas support barunya dan didukung dengan adanya volumespike yang tambah besar hari ini. pantauan lain $ihsg $aces $goto $adro saham ini cukup menarik untuk dipantau gimana menurut kalian cuaners? [info saham terbaik link di bio! ] analisa kembali, bukan ajakan membeli dan hanya opini disc on
rsigit9             23 dec 22, 13:44                               $goto ayo para ritel kita lawan bandar, serok sebanyak2 nya, biar bandar gak punya barangnya lagi
